company_name,also_known_as,hq_city,hq_country,founded_year,primary_layer,secondary_layers,vertical_subcategory,core_or_division,one_liner,total_funding_usd,last_round_size_usd,last_round_type,last_round_date,last_round_lead,team_size,source_url,verification,entity_type,status,notes,business_model,customers,revenue_status,technical_differentiation
Linkerbot,Linker Robotics; Linker Hand; 灵心巧手 (Lingxin Qiaoshou); LinkerSkillNet,Beijing,CN,2019,L4_hardware,"L3_data_infra,L6_vertical",,core,"Builds high-DoF dexterous robotic hands (6-42 DOF) paired with a cloud brain, using its LinkerSkillNet dataset (500+ skills) to train learned manipulation models.",undisclosed (multiple rounds; multi-hundred-million RMB through Series B+; ~$3B valuation reached),undisclosed,Series B+ / pre-IPO (Series B reached ~$3B valuation; next round targeting ~$6B),2026-02,Ant Group / HongShan (among lead investors),unknown,https://www.linkerbot.cn/aboutUs,verified,company,active,"Beijing-based (Haidian district) dexterous-hand leader; founder/CEO Zhou Yong. Founding year 2019 per official company ""About Us"" page (灵心巧手成立于2019年); some secondary sources imply later, but official site and qcc/aiqicha registry corroborate 2019. World's only mass-producer of high-DoF dexterous hands, ~80%+ global market share, monthly orders 1,000+ units, scaling to ~10,000/month. Strategy: 'dexterous hands + cloud brain.' LinkerSkillNet = world's largest real-world dexterous manipulation dataset (500+ skills/behaviors); Open TeleDex is open teleoperation/data-capture architecture. Investors include Ant Group (Alibaba), HongShan, Zhongguancun Science Park Fund, Bank of China Asset Mgmt, Fosun Capital, CICC Capital. Series B reached ~$3B valuation; next raise targets ~$6B; exploring Hong Kong IPO 2026 (advisors CMBI, CITIC Securities, HSBC). IN SCOPE: hand + AI manipulation data/learning system; AI-native variable-item manipulation, not a pre-programmed industrial arm. Total funding and team size not publicly disclosed. Last round date ~2026-02 for Series B per Chinese press (valuation up 10x in 7 months).","Sells high-DoF dexterous robotic hands (LinkerHand O/L series, ~RMB 3,999–99,900 / ~USD 560–14,000 per unit) to humanoid robot makers, industrial integrators, and research labs, undercutting Western rivals on price; in-house vertical integration (motors, gear reducers, electric cylinders) drives margin. Layers on a cloud ""brain"" and LinkerSkillNet skill dataset (500+ skills) to upsell learned-manipulation software/full-stack dexterity platform.","Named customers/partners include Samsung Electronics, Siemens, and Foxconn (industrial/humanoid), plus research deployments at Stanford, MIT, Cambridge, University of Hong Kong, and Tsinghua.","scaling (shipped 10,000th hand, monthly capacity >4,000 units, targeting 50,000–100,000 units next year; specific revenue figure not publicly disclosed; raised ~$150M+ and reportedly a larger Series B near $217M since April 2025, targeting ~$6B valuation - unverified)","Versus Shadow Robot (UK, ~$65k 24-movement research hand) Linkerbot offers comparable/higher DoF (6–42) at roughly 1/20th the cost with true mass production (>1,000 high-DoF hands/month, claimed ~80% global high-DoF share); versus China rival Wuji Tech (20-DoF Wuji Hand) it differentiates on DoF range plus the cloud brain and LinkerSkillNet 500+ skill dataset bundling learned manipulation rather than hardware alone."
MAB Robotics,HoneyBadger,Poznan,PL,2017,L4_hardware,L6_vertical,,core,"Builds the waterproof HoneyBadger quadruped and its motion-control stack to inspect sewers, tunnels and extreme underground environments using learned omnidirectional locomotion policies.",undisclosed,undisclosed,unknown,unknown,unknown,11-50 (LinkedIn); KRS/CBInsights suggest ~8-15,https://www.mabrobotics.pl/about,verified,company,active,"Polish legged-robotics startup, first spin-off from Poznan University of Technology, founded ~2016-2017 (sources vary; LinkedIn/most list 2017) by Jakub Bartoszek, Lukasz Antczak and Jakub Matyszczak. Flagship product is the waterproof, rugged HoneyBadger quadruped (HoneyBadger 4.0 operates fully underwater) for industrial inspection of sewers, heat-district tunnels and extreme environments; also sells motion-control components (motor controllers, actuators, encoders). AI qualifier: on-robot reinforcement learning for locomotion, e.g. 'Gait in Eight: Efficient On-Robot Learning for Omnidirectional Quadruped Locomotion' (arXiv:2503.08375) demonstrated on the MAB HoneyBadger. Primary layer L4 AI-native hardware; secondary L6 inspection vertical. No disclosed VC rounds found (Crunchbase/PitchBook list it but without round data); company appears grant- and revenue-funded (research grants NCN/DFG/HMWK funded the Gait in Eight work, not the company). In scope: AI-native legged hardware whose locomotion depends on learned policies. RBR50 2025 recognized.","Three revenue streams: (1) selling/leasing the IP67 waterproof HoneyBadger quadruped to industrial inspection clients with billing by time/mileage, (2) performing underground inspections as a service and delivering reports, and (3) selling its in-house motion-control components (MD80 brushless motor controllers, MD-series actuators, CANdle bus) to other robotics builders and labs.","Delivered jointed-spine HoneyBadger units to Poznan University of Technology (PUT) and TU Darmstadt; ran field inspections for water/sewage utilities Veolia and Aquanet, plus heat-distribution tunnel and sewer inspections in Poznan and Zdunska Wola, Poland.",early-revenue (raised ~$319K pre-seed per PitchBook/Crunchbase; revenue figure not publicly disclosed),"Unlike ANYbotics' ANYmal and Boston Dynamics' Spot, the HoneyBadger 4.0 is fully IP67 submersible and demonstrably walks underwater and through sewer pipes, and MAB designs its own actuators/motor controllers (MD80) in-house rather than sourcing them, giving it a low-cost, sealed platform tuned for confined extreme-underground inspection niches the larger players do not target."
MangDang,"Mangdang Robotics; Mangdang Technology Co., Limited; Mini Pupper",Hong Kong,HK,2020,L4_hardware,L6_vertical,,core,"Makes Mini Pupper, low-cost open-source ROS/ROS2 quadruped robot kits enabling students and researchers to build legged robots and run sim-to-real reinforcement-learning locomotion.","undisclosed (crowdfunded: ~HK$3.9M Kickstarter for Mini Pupper 1 + ~HK$1.09M for Mini Pupper 2, roughly US$640K combined)",~140000,crowdfunding (Kickstarter),2022-09,"undisclosed (225 Kickstarter backers, Mini Pupper 2)",unknown,https://mangdang.store/pages/about-us,verified,company,active,"AI-native legged dev platform (Layer 4 hardware). Founded 2020 in Hong Kong (Mangdang Technology Co., Limited, based at HKSTP per their directory listing); offices/team in China (Beijing) and Japan (Tokyo); founder Afreez Gan. Launched first ROS quadruped Mini Pupper in 2021, inspired by Stanford Pupper. Funded via crowdfunding rather than VC: Mini Pupper 1 Kickstarter raised ~HK$3.9M (915 backers, 2021); Mini Pupper 2 Kickstarter raised ~HK$1.09M (225 backers, 2022). No disclosed equity rounds. In scope: widely used as a low-cost sim-to-real RL/IL locomotion research and education platform; the product category (affordable open robot-learning quadruped) is AI-native. Team size not publicly disclosed (global distributed team). Last-round figures are approximate USD conversions of the HKD crowdfunding totals.","Sells low-cost open-source quadruped robot kits (Mini Pupper 1/2/Pro, ~$300-700) and components direct-to-consumer through its own Shopify store (mangdang.store), Amazon, and resellers like RobotShop, plus initial crowdfunding (Kickstarter/Indiegogo/Makuake). Primary buyers are STEM students, makers, and educational institutions; the software/designs are open-source, so revenue comes from hardware kits and spare parts rather than software licensing.","Primarily individual makers, hobbyists, and K-12/university STEM programs rather than named enterprise accounts; no specific paying institutional customers are publicly named. Ecosystem ties include collaboration with Nathan Kau / Stanford Student Robotics (original Pupper creator) and community workshops run with ROS, Ubuntu, AWS, and IEEE. Named paying orgs: not publicly disclosed.",early-revenue (Kickstarter campaigns for Mini Pupper 1 in 2021 and Mini Pupper 2 in 2022 were heavily oversubscribed with ~900+ backers; exact total revenue not publicly disclosed; sells via Amazon/RobotShop at ~$300-700 per kit),"Differentiates on being the lowest-cost, mass-production-ready, fully open-source 12-DoF ROS/ROS2 quadruped kit with built-in AI/LLM (ChatGPT/Gemini/Claude) and SLAM/sim-to-real support, versus Stanford's original Pupper (a DIY reference design, not a productized kit) and Unitree's Go1/Go2 (far more capable but ~10x+ the price and closed/proprietary). Its edge is affordability and open-source education focus rather than performance."
mimic robotics,mimic,Zurich,CH,2024,L4_hardware,"L1_foundation_model,L3_data_infra,L6_vertical",,core,Pairs AI-driven dexterous robotic hands with off-the-shelf arms; trains physical-AI foundation models via imitation learning from human demonstrations captured by proprietary wearable data devices.,~20000000,16000000,Seed,2025-11,Elaia,25,https://www.globenewswire.com/news-release/2025/11/03/3179052/0/en/mimic-robotics-raises-16-million-to-deploy-frontier-physical-AI-across-industries.html,verified,company,active,"ETH Zurich spinout (2024); CEO Stefan Weirich, thesis at ETH Soft Robotics Lab on tendon-driven biomimetic hands. Builds proprietary AI-driven dexterous robotic hands (sub-mm fingertip precision) attached to standard industrial arms rather than full humanoids. Trains frontier physical-AI foundation models via imitation learning from real human demonstrations collected with proprietary wearable devices on factory floors. $16M seed (Nov 2025) led by Elaia and Speedinvest, with Founderful, 1st Kind, 10X Founders, 2100 Ventures, Sequoia Scout Fund; prior ~$2.5M pre-seed (2024) plus non-dilutive Innosuisse funding bring total to over $20M. Primary layer L4 AI-native hardware (the hand); secondary L1 (foundation model), L3 (demonstration-data collection), L6 (manufacturing deployments). In scope: AI-native dexterous manipulation that would not exist without learned policies. Team ~25.","Sells AI-driven dexterous robotic-hand modules paired with off-the-shelf industrial arms, plus service contracts covering workflow analysis, tailored robotic-station installation/integration, maintenance, and scalability for added tasks over time; targets labor-intensive manufacturing, automotive, logistics, and retail tasks.","Undisclosed by name; technology is being piloted with unnamed Fortune 500 manufacturers, global automotive brands, and multinational logistics providers across manufacturing, automotive, logistics, and retail.","early-revenue (no figure public) - running paid/unpaid pilots with top-tier manufacturers; founded 2024 as ETH Zurich spinout, raised ~$16M seed (Nov 2025) led by Elaia with Speedinvest, Founderful, Sequoia Scout, bringing total to ~$20M+. (unverified whether pilots are paid; could also be characterized pre-revenue)","Unlike Physical Intelligence (PI, software/VLA foundation models for any robot) and Figure (full humanoids), mimic ships a self-contained dexterous hand + tactile sensing + imitation-learning model that bolts onto standard arms, avoiding locomotion/full-body costs; differentiated also vs hand-makers like Shadow Robot by training physical-AI models on wearable on-the-job human demonstrations captured in live production rather than selling hardware alone."
New Degree Technology,NDT; Shenzhen New Degree Technology; 新度技术,Shenzhen,CN,2011,L4_hardware,,,core,"Maker of piezoresistive force/touch sensors; supplies tactile fingertip and skin sensing arrays for robot dexterous hands and humanoids, providing contact data for manipulation.",23200000,undisclosed,Series C,2022-03,undisclosed,unknown,http://en.newdegreetech.com/AboutUs/Company/,verified,company,active,"Founded 2011 as a force-touch sensor joint venture; HQ Shenzhen with a San Jose design center. Origin is consumer electronics force-touch (ZTE Axon Mini 2015, Google Pixel 4; investor Xiaomi). Now positioned as a supplier of piezoresistive robot tactile/force sensors used for fingertip and skin sensing on dexterous hands and humanoids; appears in CMRA's overview of humanoid tactile-sensor companies. Layer 4 borderline component: NDT builds the sensing hardware, not learned policies or a foundation model, but tactile data is the input substrate for learned manipulation, so in_scope=true. Total funding ~$23.2M per Crunchbase; latest round labeled Series C (Series C-III subrounds), date approximate (March 2022 referenced); round size and lead not clearly disclosed. Team size and exact latest-round details not findable. Sources: company site en.newdegreetech.com; Crunchbase (shenzhen-new-degree-technology); CMRA humanoid tactile-sensor company overview (cnmra.com).","Sells piezoresistive MEMS force/touch sensor components and end-to-end ""force touch"" solutions to device and robot OEMs on a per-unit/design-win basis (over 100 million sensor sets shipped), spanning mobile phones, TWS earbuds, laptop trackpads, AR/VR, styluses, and automotive switches/center consoles; now extends the same piezoresistive tech into fingertip tactile and skin sensing arrays sold to robot dexterous-hand and humanoid makers.","Named brand customers (consumer/auto force-touch business) include Google, Lenovo, Microsoft, Asus, Huawei, Xiaomi, vivo, OPPO, Baidu, and Midea. Specific paying humanoid/dexterous-hand robotics customers are not publicly disclosed by name.",scaling (revenue figure not publicly disclosed; 100M+ sensor sets shipped across major consumer-electronics brands indicates established commercial-scale revenue),"Founded 2011 and claims to be first to commercialize ""flexible MEMS"" piezoresistive micro-strain force sensing (Wheatstone-bridge differential output) at mass scale, a proven high-volume consumer/automotive supply chain it now repurposes for robot tactile arrays; differs from capacitive/AI-haptic-chip players like Tashan Tech (mixed-signal AI haptic chip, electronic skin) and TacSense by using a mature, durable piezoresistive force-MEMS approach and an existing 100M+ unit manufacturing base rather than newer capacitive sensing."
Nexera Robotics,NeuraGrasp,North Vancouver,CA,2021,L4_hardware,L6_vertical,,core,"Builds NeuraGrasp, an AI-native gripper combining learned grasping intelligence, vision and a soft membrane end-effector so warehouse robots reliably pick high-variability items.",~4500000,4500000,venture,2025-01,BDC Capital Industrial Innovation Venture Fund,unknown,https://www.therobotreport.com/locus-array-expands-picking-ability-with-nexera-robotics-neuragrip/,verified,company,acqui-hired,"North Vancouver, BC, Canada firm founded 2021. Flagship NeuraGrasp end-effector developed over ~5 years; combines AI grasping intelligence, computer vision, onboard sensing and a patented soft membrane gripper to adapt to item shape/texture/weight/porosity for high-variability warehouse picking (items up to ~5 lb). Raised $4.5M in 2025 led by BDC Capital's Industrial Innovation Venture Fund. Acquired by Locus Robotics in May 2026 (announced 2026-05-19); NeuraGrasp being integrated into Locus Array physical-AI platform; full Nexera team joined Locus, hence acqui-hired. Round date YYYY-MM precise month not confirmed (2025; reported as 2025); last_round_date is approximate. Total funding reflects only the disclosed $4.5M; earlier seed amounts undisclosed. In scope: AI-native learned variable-item manipulation gripper that would not exist as a pre-programmed product. Layer 4 AI-native hardware with L6 6a_warehouse vertical.","Sold/licensed its patented NeuraGrasp AI gripper (soft-membrane end-effector plus learned grasping intelligence and vision) as an end-effector to warehouse-automation and mobile-robot OEMs, working with automation providers worldwide to add high-variability SKU picking to their robots. Pre-acquisition it was a venture-funded startup (raised ~$4.5M in 2025 from BDC Capital, RiSC Capital, Supernode, Defined) monetizing via hardware/IP supply to integrators rather than at scale.","Not publicly disclosed by name; the company stated NeuraGrasp was validated through ""tens of millions of picks"" and ""broadest SKU testing with commercial partners,"" and it worked with automation providers worldwide, but no specific paying or piloting customer is named publicly. Locus Robotics became the de facto acquirer/end customer (acquisition closed ~May 13, 2026).","early-revenue (unverified; ~$4.5M raised 2025, commercial-partner SKU testing underway but no disclosed revenue figure; effectively pre-scale at acqui-hire by Locus Robotics)","Differentiates via a patented soft-membrane end-effector that physically conforms to each item combined with learned (AI) grasp planning and onboard vision, letting a single gripper handle porous textiles, loose bagged items, perforated polybags and delicate/irregular SKUs that rigid or pure-suction grippers miss. Versus closest Layer-4 grasping competitors Ambi Robotics (AmbiSort, suction-based) and RightHand Robotics (RightPick, suction-cup gripper), Nexera's compliant membrane targets the long tail of hard-to-grasp SKUs those suction systems struggle with."
Nomagic,NoMagic,Warsaw,PL,2017,L4_hardware,L6_vertical,,core,"Builds AI-powered robotic picking arms for warehouses that learn to grasp variable items, using vision-language-action models and operational data to handle pick, pack, and sort tasks.",~84000000,10000000,Series B extension,2026-02,Cogito Capital Partners,unknown,https://nomagic.ai/about-us/,verified,company,active,"Warsaw, Poland-based warehouse robotics company founded 2017 by Kacper Nowicki, Marek Cygan, and Tristan d'Orgeval. AI 'brain' pairs robotic arms with grippers/tool-changer to learn picking of variable items (95%+ coverage). Uses physical AI and vision-language-action models trained on operational data — AI-native variable-item manipulation that improves with experience, so in_scope=true. Series A $22M (2022); $44M round Feb 2025 led by EBRD VC arm with Khosla Ventures, Almaz Capital, EIB venture debt; $10M (EUR 8.51M) Series B extension led by Cogito Capital Partners closed Feb 2026, bringing total to over $84M. Team size not publicly disclosed. Sources: therobotreport.com/nomagic-raises-44m, techcrunch.com 2025/02/26, theaiinsider.tech 2026/02/05, nomagic.ai.","Sells AI-powered robotic picking/packing/sorting cells primarily via a Robotics-as-a-Service (RaaS) model, where warehouse/3PL customers sign multi-year service-level agreements priced on business metrics (e.g. per-pick throughput) rather than buying hardware outright. Nomagic integrates its ""AI Brain"" software onto best-in-breed robot arms deployed into existing warehouse systems (including AutoStore setups).","Named customers include ASOS (sortation), Komplett (Nordic e-commerce packing), Fiege and Arvato (3PL picking), Brack.ch/Brack.Alltron (picking + VLA systems), Cdiscount, and Fenix.",scaling (specific revenue not publicly disclosed; reported 220% growth in contracted ARR in 2024 with a target of ~200% in 2025; over $84M total funding raised),"Differentiates via vision-language-action (VLA) models that let arms detect anomalies (lost items, disordered bins) and adapt autonomously to changing inventory, plus task-specific grippers (e.g. Shoebox Picker for unsealed shoeboxes). Vs RightHand Robotics, which relies on a fixed multi-modal suction+finger gripper, and Covariant (its closest VLA-style rival, now largely absorbed by Amazon in 2024), Nomagic competes on European deployment focus and a software-led RaaS approach layered onto third-party robot hardware."
OYMotion Technology,"ROHand; 傲意科技; OYMotion Technologies Co., Ltd.",Shanghai,CN,2015,L4_hardware,L6_vertical,,core,"Builds ROHand dexterous five-finger robotic end-effectors with tactile force sensing and EMG/neural-signal decoding, serving as manipulation hands for humanoid and embodied-AI robots.",~60800000,~21000000,Series C (C1),2026-03,China International Capital Corporation (CICC Capital),unknown,https://www.crunchbase.com/organization/oymotion-technologies-inc,verified,company,active,"Shanghai (Zhangjiang Hi-Tech Park) company est. 2015; makes ROHand dexterous five-finger hands (e.g. ROH-AP002 with hybrid 3D/1D force sensing, 11 joints, 6 active DOF) used as end-effectors on humanoid/embodied-AI robots, plus non-invasive BCI and AI decoding of neural/EMG signals. CEO/founder Hualiang Ni. Funding history per Crunchbase: Series B ~CN¥99M (Jan 2023, Guangda Huitong et al.); most recent ~CN¥150M C1/Series C closed ~March 2026 led by CICC (first investment of CICC Brain Science Fund; CEC Capital advisor). Total funding ~$60.8M (Crunchbase); USD conversions for last round approximate. Borderline due to prosthetics/bionic heritage but kept in_scope=true: dexterous hand is an AI-native manipulation component used for learned manipulation and gesture-learning on embodied-AI/humanoid platforms; component maker, not its own foundation model (L4). Team size not found.","Sells ROHand dexterous five-finger robotic hands/end-effectors (e.g. ROH-A002 listed ~$12,999) plus integrated joint motors, EMG/neural-signal-decoded OHand bionic prosthetics, EEG devices and exoskeletons as hardware components to humanoid-robot makers, prosthetics/clinical buyers and research/education institutions; distributed via resellers (RCDrone, AIFITLAB) and direct sales.","Not publicly disclosed as named accounts; buyers are humanoid robot developers, inspection-robot makers, intelligent bionic prosthetics users (global user base), and educational/research labs. Sold through distributors including RCDrone and AIFITLAB. No specific named paying customers found in public sources.","early-revenue (commercial products on sale via distributors; PitchBook reports ~$60.8M raised across 16 investors including Hangzhou Radical Energy Saving Technology, Zhejiang State-Owned Capital Operation, GDHT Capital, Heying Asset Management, Huafa Group; specific revenue figure not publicly disclosed)","Differentiates via hybrid tactile force sensing (3D + 1D, 0.1N resolution) and in-house EMG/neural-signal decoding (BCI) heritage from its OHand prosthetic line, combined with high static grip (up to ~30kg) at ~540g and ±0.05mm repeatability. Vs Inspire Robotics (similar ±0.05mm, ~35Nm force-controlled hand) and Wuji/other Chinese hand makers, OYMotion's edge is its neural-decoding/EMG prosthetics background and combined tactile perception rather than raw DOF count."
PAL Robotics,"PAL Robotics (TALOS, TIAGo, REEM, Kangaroo)",Barcelona,ES,2004,L4_hardware,L5_middleware,,core,"Builds open ROS-based humanoid and mobile-manipulator robots (TALOS, TIAGo, ARI, Kangaroo) as research and service platforms for deploying embodied-AI and learned policies.",undisclosed,undisclosed,undisclosed,unknown,undisclosed,~100-150,https://pal-robotics.com/who-we-are/,verified,company,active,"Founded 2004 in Barcelona by engineers led by CEO Francesco Ferro; first robot REEM-A (2005); TIAGo (2015), TALOS bipedal humanoid (2017), ARI (2019), Kangaroo legged robot. Part of PAL Technology Group (UAE-linked). Privately held; no disclosed VC rounds — funded via parent group and substantial EU grants (Horizon 2020, Eurostars). Team ~100 per company site (~150 per Tracxn Apr 2026). Offices in Barcelona, Toulouse, Bari. In scope: general-purpose research humanoid hardware that is AI-native as an embodied-AI deployment platform (open ROS for learned policies); L4 primary with L5 middleware secondary. AI-intensity is moderate — PAL supplies the platform, not its own foundation model.","Sells ROS-based humanoid and mobile-manipulator robots (TALOS, TIAGo, ARI, Kangaroo) plus the StockBot retail inventory robot directly to universities, R&D labs, and enterprises as research and service platforms, supplemented by custom engineering/integration services and EU-funded research-consortium contracts (e.g., CANOPIES, CORESENSE, MANOLO). Retail deployments like StockBot generate recurring revenue via multi-store, multi-country rollouts.","Decathlon (global StockBot inventory-robot rollout across stores in ~15-40 markets); research customers include Technical University of Munich, KU Leuven, University of Freiburg, Aristotle University of Thessaloniki, Tampere University, Aarhus University, CEA, Siemens, and Comau (often via EU research projects).","early-revenue (unverified third-party estimates ~$5.6-7M annual revenue, 2026; bootstrapped/no disclosed VC funding, ~151 employees)","Differentiates as a European, fully open ROS/ROS2-native platform vendor with 20+ years of deployed research robots and a broad catalog (bipedal Kangaroo, full-size TALOS, mobile-manipulator TIAGo) spanning research and commercial service use, versus China's Unitree (mass-produced, low-cost, state-backed humanoids) and OpenAI-backed 1X Technologies (consumer/labor-focused EVE/NEO). PAL competes on openness, customizability, and research-platform breadth rather than scale or capital."
PartaBot,Partabot,unknown,US,unknown,L4_hardware,L3_data_infra,,core,"Sells low-cost LeRobot-compatible robot arm kits (SO-ARM101 leader+follower, LeKiwi mobile manipulator, Aloha Mini) plus cloud training for teleoperation and imitation-learning data collection.",undisclosed,undisclosed,undisclosed,unknown,undisclosed,unknown,https://partabot.com/,verified,company,active,"US-based LeRobot-community hardware vendor selling low-cost open-source arm kits (SO-ARM101 leader+follower from $329, LeKiwi mobile manipulator from $699, Aloha Mini from $999) explicitly built for teleoperation and imitation-learning/RL data collection compatible with Hugging Face LeRobot. Also runs train.partabot.com, a cloud-native training pipeline letting users upload datasets to Hugging Face or use existing LeRobot datasets to train models (hence L3 data-infra secondary). In_scope=true: AI-native research arms for learned policies, would not exist without the imitation-learning/teleoperation paradigm. Corporate details thin: Shopify storefront shows ""© 2026, PartaBot"" and ""United States"" region; About page is a placeholder. No Crunchbase/LinkedIn/PitchBook profile found; founding year, HQ city, team size, and funding not publicly disclosed. Social: X @partabot_. Docs at partabot-1.gitbook.io. Company existence and product line verified via official site; founded_year unverifiable so left unknown.","Direct e-commerce sales of low-cost, LeRobot/Hugging Face-compatible robot arm hardware kits (SO-ARM101 leader+follower, LeKiwi mobile manipulator, Aloha Mini, Koch v1.0) sold assembled or as DIY kits via partabot.com and Amazon, plus an emerging cloud-native GPU training platform (train.partabot.com) for training/deploying imitation- and reinforcement-learning policies (ACT/diffusion) - likely intended as a paid SaaS/subscription, though pricing is not publicly disclosed.","Hobbyists, makers, educators, students, and research/automation teams buying low-cost arm kits; PartaBot is also a named hardware partner in Hugging Face's SO-101 ecosystem alongside The Robot Studio, Seeed Studio, and WowRobo. No specific paying enterprise customers are publicly named - undisclosed.",early-revenue (hardware kit sales via own store and Amazon; cloud training product appears pre-launch/early; no revenue figures publicly disclosed),"Competes directly with other SO-101/LeRobot hardware resellers Seeed Studio and WowRobo, plus The Robot Studio (the open-source design originator); the kits are essentially the same open-source SO-ARM101/LeKiwi reference designs, so hardware is largely undifferentiated - PartaBot's only would-be differentiator is its bundled cloud GPU training/one-click deploy pipeline (train.partabot.com), which is early-stage and unproven versus simply using Hugging Face's free LeRobot stack."
PaXini Technology,"PaXini Tech; 帕西尼感知; PaXini Perception Technology (Shenzhen) Co., Ltd.",Shenzhen,CN,2021,L4_hardware,"L1_foundation_model,L6_vertical",,core,"Builds 6D multidimensional tactile sensors, dexterous hands, and TORA humanoid robots, fusing touch and vision into multimodal manipulation models for embodied AI robots.",~290000000,145000000,Series B,2026-03,"Huangpu River Capital, Kaitai Capital, CIM International Group (co-led)",unknown,https://www.caixinglobal.com/2026-03-07/robot-sensor-startup-paxini-raises-145-million-tops-14-billion-valuation-102420414.html,verified,company,active,"Shenzhen-based; founded 2021 by team from Waseda, Tsinghua, UIUC. Develops ITPU (Intelligent Tactile Processing Unit) 6D Hall-array tactile sensors, DexH series dexterous hands, and TORA-ONE humanoid (47-53 DoF, 2000+ tactile units). Backed by BYD (>100M yuan strategic, 2025) and JD.com (led ~1B yuan Series A, Aug 2025). Series B March 2026: >1B yuan (~$145M) co-led by Huangpu River Capital, Kaitai Capital, CIM International Group; valuation >10B yuan (~$1.4B). Weighing Hong Kong IPO (June 2026). Total funding approximate (Series A + B + BYD ~2B+ yuan). Team size not found.","Sells a vertically integrated ""tactile infrastructure"" stack to robotics/industrial customers: 6D ITPU multidimensional tactile sensors and electronic skin as components, DexH13 dexterous hands as subsystems, and TORA-ONE humanoid robots as full platforms, plus the embodied-data/multimodal manipulation models trained on them. Revenue comes from hardware sales (sensors, hands, robots) and full-stack deployment solutions to clients in automotive, warehousing/logistics, medical, and industrial manufacturing.","BYD is a strategic investor and partner (over CNY 100M strategic investment), with TORA humanoid bodies and dexterous hands piloted in automobile manufacturing factories and large-scale logistics warehouses. Specific named paying end-customers beyond BYD-linked automotive/logistics pilots are largely undisclosed.","early-revenue (specific revenue figure not publicly disclosed; raised over CNY 1 billion Series B in March 2026, unverified total ~$145M per Crunchbase)","Differentiates on a Hall-effect-based 6D multidimensional tactile array (ITPU) measuring up to 15 perception dimensions including 6-axis force, texture, and rebound, fused with in-finger AI vision, versus GelSight/DIGIT (camera-based optical tactile, higher fidelity but bulkier, sensor-only) and China rival Tashan (mixed-signal AI haptic chips/e-skin, also component-focused). PaXini's edge is owning the full stack from sensor to humanoid plus the manipulation models, where GelSight, DIGIT, and Tashan sell only sensing components."
Persona AI,Persona,Houston,US,2024,L4_hardware,L6_vertical,,core,"Builds purpose-built industrial humanoid robots (e.g. welding) for shipyards, steel and heavy manufacturing to address labor shortages and improve safety; HD Hyundai deployment partner.",~42000000,27000000,pre-seed,2025-05,Unity Growth and Tides Ventures (co-leads),unknown,https://www.therobotreport.com/persona-ai-raises-27m-develops-purpose-built-humanoid-robots-shipyards/,verified,company,active,"Founded 2024, Houston TX. Founders: Nic Radford (CEO, ex-Nauticus Robotics founder/CEO, 15 yrs NASA Dexterous Robotics Lab), Jerry Pratt (CTO, ex-Figure AI CTO), Jide Akinyode (COO, ex-Nauticus VP Eng). Raised oversubscribed $27M pre-seed in May 2025 co-led by Unity Growth and Tides Ventures (Mirae Asset, Invicta Growth, Fathom Fund, Embedded Ventures, Wave Function Ventures participating); earlier $10M pre-seed. By Dec 2025 reported ~$42M total pre-seed alongside unveiling of a welding humanoid. Signed agreement with HD Hyundai to deploy humanoids into shipyards (delivery expected within ~18 months); also a Louisiana steel-fabrication pilot. In scope: AI-native general-purpose humanoid maker despite hardware-first positioning. Primary layer L4 (AI-native hardware); also touches L6 vertical (manufacturing/shipbuilding). Team size not publicly disclosed. Total funding figure approximate ($27M named round; ~$42M cumulative pre-seed cited Dec 2025).","Builds purpose-built industrial humanoid robots for heavy tasks (welding, grinding, inspection, material handling) and plans to deploy them via a Robotics-as-a-Service (RaaS) model that eliminates large upfront capital costs for clients, primarily in shipyards, steel, and heavy manufacturing. Currently pre-commercial; first prototype targeted for late 2026 with field testing and commercial deployment in 2027.",HD Hyundai (world's largest shipbuilder) is the signed flagship partner/customer for shipyard welding deployment. Strategic investor-partners include POSCO (via POSCO DX) for steel manufacturing. Additional first industrial customer reportedly close to being announced but not yet named.,"pre-revenue (raised ~$27M oversubscribed pre-seed in May 2025, with reports of $42M total raised; no product revenue yet, prototype due late 2026)","Unlike general-purpose humanoid makers Figure AI and Tesla Optimus, Persona AI builds task-specific, ruggedized humanoids hardened for hazardous heavy-industry environments (high-heat welding, shipyards) rather than warehouse/automotive pick-and-place; founders Nic Radford (NASA Valkyrie) and Jerry Pratt (ex-Figure CTO) bring deep legged-robotics and industrial-deployment pedigree, and it co-engineers protective robot materials with Under Armour."
