niche_id,niche_name,layer,mode,description,anchor_companies,skills_must_have,skills_nice_to_have,daily_work,entry_cost_money_min_gbp,entry_cost_money_comfortable_gbp,entry_cost_time,entry_barrier,revenue_source,revenue_floor_gbp,revenue_ceiling_gbp,revenue_floor_source,revenue_ceiling_source,time_window,risk_factors,upward_path,crypto_relevant
L4-EMP-04,硬件应用/集成工程师 (灵巧手/传感器),L4,employee,把灵巧手/触觉传感器等硬件集成进客户系统并提供应用支持; 明确接受用GitHub作品集替代博士。,PSYONIC; Wonik; GelSight,硬件集成; 应用支持; 编程/驱动调试,ROS; CAD; 客户演示,周一对接客户集成需求; 周二-周四集成调试硬件+写示例; 周五支持答疑+反馈改进。,0,1000,0-3个月(有作品集),需可展示的硬件/集成项目,工资+股权,85800,129100,Glassdoor robotics application engineer 低端proxy (converted from USD),Glassdoor robotics application engineer 高端proxy (converted from USD),now,即插即用硬件降低集成支持需求,12-24月→应用工程主管/解决方案工程师,false
L4-MICRO-01-WEST,SO-ARM/LeRobot 套件组装转售与打包 (西方),L4,micro_startup,1-5人在西方市场采购零件、3D打印结构件、组装+QA并销售即用型SO-ARM/LeRobot套件与捆绑包，提供入门支持。,WowRobo; Seeed Studio; PartaBot; AIFITLAB,供应链采购; 3D打印; 组装/QA; 订单履约+客户支持,教程/文档; 社群营销,周一备货+处理订单; 周二-周四组装+QA+发货; 周五客服答疑+内容营销+补货。,2000,15000,1-3个月(供应+样机+店铺),需备货资金+组装产能; 物流/退货,硬件销售毛利,4700,94500,$50毛利×10套/月(组装$300-450 vs $240成本) WowRobo/Seeed (converted from USD),$100-150毛利×60-80套/月规模 (converted from USD),now,开源设计被大厂低价量产; 利润薄,12-24月→自有品牌教育机器人公司,false
L4-MICRO-01-CN,SO-ARM/LeRobot 套件与零件制造转售 (深圳供应链),L4,micro_startup,依托深圳供应链(Seeed/Waveshare路线)制造并销售SO-ARM整套/零件，靠成本与产能取胜，面向全球。,Seeed Studio; Waveshare; WowRobo,BOM/制造; 供应链; 批量QA; 跨境电商,开源硬件迭代; 海外渠道,组织零件/整机制造与质检，运营跨境店铺与分销，按量出货并迭代设计。,3000,30000,1-3个月(打通供应链),需供应链关系+备货资本,制造销售毛利,7900,196900,低量代发$35零件套(薄利) Waveshare (converted from USD),整机$220-240×数百套+制造毛利 Seeed (converted from USD),now,同质化价格战; 大厂规模碾压,12-24月→开源机器人硬件品牌/ODM,false
L4-MICRO-02,3D打印机器人零件/STL 卖家,L4,micro_startup,基于开源CAD(The Robot Studio)在Etsy/Tindie/MakerWorld销售3D打印的SO-ARM/LeRobot结构件或数字STL。,The Robot Studio开源(经Etsy/Tindie/MakerWorld),FDM/树脂打印; 后处理; STL履约,设计改良; 店铺运营,周一接单备料; 周二-周四打印+后处理+发货; 周五上新/数字STL上架+客服。,300,3000,数周(打印机+首批),需3D打印机; 物理件利润受打印工时限,实体件/STL销售,1900,94500,数字STL副业$200/月 pixup3d (converted from USD),全职打印店$3k-10k/月(3-5台) eufymake (converted from USD),now,开源件人人可印; 价格压力,12-24月→升级为整套件转售(L4-MICRO-01-WEST),false
L4-MICRO-03,机器人配件/挂载套件制造商,L4,micro_startup,为Unitree Go2/G1等设计并销售配件与模块化挂载套件(Picatinny导轨、载荷挂载)，1-5人小批量生产。,Unitree Go2/G1 (经自有站/RoboStore/MakerWorld),Fusion 360设计; 导轨/挂载系统; 打印与发货,CNC/钣金; 电商运营,周一-周二设计/迭代配件; 周三-周四生产发货; 周五上架营销+客服。,500,5000,1-2个月(设计+首批),需设计与制造能力; 利基市场小,配件销售毛利,4700,63000,利基挂载套件低量(Amazon/Futurology) (converted from USD),3D配件店天花板proxy (converted from USD),now,平台机型迭代/停产; 山寨竞争,12-24月→机器人配件品牌/分销,false
L4-SOLO-01,自由机器人CAD/3D打印设计师,L4,solo,个人在Upwork/Cad Crowd接机器人/人形概念与零件的CAD设计、逆向、渲染、面向打印的DFM。,Upwork / Cad Crowd,SolidWorks/Fusion 360; 逆向工程; 渲染; 打印DFM,仿真; 机构设计,周一投标; 周二-周四出CAD+渲染+修改; 周五交付+复盘报价+更新作品集。,200,2000,1-3个月(档案+案例),需CAD作品集; 平台抽成,自由职业合同,26800,81900,Upwork $25/hr×~1000h / 行业低端 (converted from USD),"Cad Crowd 90th pct $104,431 (converted from USD)",now,AI辅助CAD/生成式设计压价,12-24月→机器人设计工作室或入职硬件公司,false
L4-SOLO-02,开源硬件套件 社区/开发者关系 (合约),L4,solo,个人以合约方式为开源硬件厂商做社区与开发者关系：运营Discord、写集成指南、做活动演示，赚赞助/联盟+合约费。,Hugging Face LeRobot; Seeed Studio,社区运营; 文档/集成指南; 现场演示,自带硬件演示; 多语种; 视频,周一社区答疑; 周二-周三写指南/做集成demo; 周四活动/直播; 周五厂商对接+联盟内容。,300,2000,3-6个月(建立社区影响力),需社区声誉+硬件熟悉,合约费+赞助/联盟,7900,94500,DevRel合约/赞助低端proxy (converted from USD),多厂商合约+联盟带货高端proxy (converted from USD),now,厂商预算波动; 社区平台变化,12-24月→入职DevRel(L1-EMP-01)或自营内容(L1-SOLO-03),false
L5-EMP-01,前置部署/解决方案工程师 (机器人中间件),L5,employee,在机器人中间件公司做面向客户的端到端部署：把平台落地到客户机器人/车队，做集成与硬件原型。,Viam; Formant; Foxglove,Python/C++; ROS熟悉; 客户落地实施; 硬件原型,TS; LLM/AI工作流; 云,周一对接客户; 周二-周四集成部署平台+调通车队; 周五交付+反馈产品+部分出差。,0,1500,0-3个月(有软件/集成背景),需软件能力; 部分出差,工资+股权,129900,185000,Viam JD floor $165k levels.fyi (converted from USD),Viam JD ceiling $235k levels.fyi (converted from USD),now,平台自助化降低部署人力,12-24月→解决方案主管 / 车队集成顾问(L5-MICRO-01),false
L5-EMP-02,"机器人软件工程师 (ROS2, 非博士路径)",L5,employee,写ROS2软件:导航/Nav2、集成、SDK; 接受自学/训练营出身的软件路径。,InOrbit; Rapyuta; Open Robotics生态,ROS2; Python/C++; Nav2; 软件基础,SLAM; 云; CI/CD,周一排期; 周二-周四写/调ROS2功能与集成; 周五评审+测试+发布。,0,1000,3-9个月(自学ROS2到可雇佣),需扎实软件能力+作品集(非必须博士),工资+股权,90600,161400,levels.fyi Agility $115k floor (converted from USD),levels.fyi Open Robotics $205k (converted from USD),now,AI辅助编程压缩初级岗,12-24月→资深/中间件lead或自由ROS2开发(L5-SOLO-01),false
L5-EMP-03,机器人技术/应用支持工程师 (AMR车队),L5,employee,为AMR车队做售后技术支持:CI/CD部署、排障、客户支持。,Rapyuta Robotics; InOrbit,ROS2; CI/CD部署; 系统排障; 客户支持,Linux运维; 网络,周一-周五处理客户工单、部署更新、远程排障并升级关键问题，回传产品反馈。,0,800,0-3个月,需ROS/运维基础,工资+股权,85800,129100,Glassdoor robotics application engineer 低端 (converted from USD),Glassdoor robotics application engineer 高端 (converted from USD),now,远程自诊断减少支持需求,12-24月→解决方案/部署工程师(L5-EMP-01),false
L5-EMP-04,机器人DevOps/SRE与功能安全工程师,L5,employee,为安全关键机器人栈做DevOps/SRE与功能安全:部署流水线、V&V、安全认证支持。,3Laws Robotics; FORT Robotics; Saphira AI,SRE/DevOps工具; Linux; ROS2集成; V&V/安全认证,嵌入式C++; 合规标准(SIL),周一-周四维护部署/CI、做V&V与安全用例、监控; 周五合规文档与发布。,0,1500,3-6个月(有DevOps/嵌入式背景),需DevOps+安全方法学,工资+股权,96900,199200,Glassdoor functional safety eng 25th $123k (converted from USD),Glassdoor functional safety eng 90th $253k (converted from USD),now,安全市场依赖监管推进,12-24月→安全/平台工程主管,false
L5-SOLO-01,自由ROS/ROS2 软件开发者,L5,solo,个人在Upwork/Arc.dev接ROS/ROS2合约:SLAM、PX4、自主导航等。,Upwork / Arc.dev,ROS2; LiDAR SLAM; PX4; Python/C++,仿真; 云; 客户沟通,周一投标; 周二-周四写/调ROS2代码; 周五交付+演示+复盘。,200,2000,1-3个月(档案+案例),需作品集; 平台抽成,自由职业合同,39400,157500,Upwork ROS $45-50/hr×~1000h (converted from USD),$100+/hr×~2000h Arc.dev (converted from USD),now,AI辅助编程压价; 离岸竞争,12-24月→车队集成顾问(L5-MICRO-01)或入职(L5-EMP-02),false
L5-SOLO-02,机器人平台插件/模块开发者 (Viam/Foxglove),L5,solo,个人开发并在Viam注册表(平台代收费)或Foxglove扩展市场发布模块/面板，赚分发收入或带来咨询。,Viam Registry; Foxglove扩展,Go/Python/C++/Rust; Viam组件/服务API或Foxglove SDK; GH Actions,TS/React; ROS schema,周一-周三开发模块/扩展+测试; 周四发布+写文档; 周五看采用+接咨询/定制。,0,500,2-6周(首个模块),付费分发刚起步、变现不确定,模块分发/带来的咨询,0,19700,Viam付费模块刚上线/Foxglove免费 — n/f低端 (converted from USD),小型付费插件收入proxy — n/f (converted from USD),6-12mo,付费分发机制不成熟; 平台政策变化,12-24月→平台上做垂直SaaS(L5-MICRO-02),false
L5-SOLO-03,开源机器人中间件维护者 (GitHub Sponsors),L5,solo,个人维护开源机器人中间件(如dora-rs/ROS包)，靠GitHub Sponsors+咨询+赏金变现。,dora-rs,Rust; 数据流架构; ROS互操作; OSS维护,文档; 社区运营,周一-周三开发/维护、处理issue与PR; 周四发布; 周五接咨询+维护赞助页。,0,500,6-12个月建立项目影响力,需系统编程功底; 赞助起量慢,Sponsors+咨询+赏金,7900,37800,GitHub Sponsors低档~$800/mo (converted from USD),GitHub Sponsors顶档$4k/mo (converted from USD),now,纯OSS变现难; 大厂主导生态,12-24月→被中间件公司招募或商业化项目,false
L5-MICRO-01,机器人车队集成咨询 (1-5人),L5,micro_startup,1-5人小工作室，为客户部署Formant/InOrbit车队运维+遥操作，做云机器人集成。,Formant; InOrbit,车队管理; 遥操作搭建; 云机器人集成; Python/TS,行业领域知识; 销售,周一对接客户; 周二-周四集成部署车队运维; 周五交付+维护+谈续约/新单。,1000,10000,1-3个月(首单),需平台专长+客户关系,项目+月度retainer,39400,283500,单个小部署/顾问日费proxy (converted from USD),多客户$8-15k/月retainer (converted from USD),now,平台自助化; 客户自建团队,12-24月→区域机器人集成服务公司,false
L5-MICRO-02,基于Viam/Formant的垂直SaaS微应用,L5,micro_startup,1-5人在Viam/Formant平台上做某垂直行业的机器人SaaS应用并向客户收费。,Viam; Formant,平台SDK/API; Web应用开发; 垂直行业化; 部署,增长; 设计,周一看用户反馈; 周二-周四开发垂直应用功能; 周五发版+onboard客户+营销。,500,8000,3-6个月(MVP+首批客户),需平台+应用开发能力+垂直客户,SaaS订阅,3900,196900,早期app+Viam $5/mo起 Viam pricing (converted from USD),按机数转售的小型垂直SaaS天花板 Viam (converted from USD),now,平台政策/定价变化; 垂直需求有限,12-24月→垂直机器人SaaS公司,false
L6-EMP-01,远程机器人操作员/接管干预专员,L6,employee,受雇做远程机器人操作:监控仓储拣选/人行道配送机器人画面，在异常时接管。低门槛入口，含带薪培训。,Plus One Robotics; Coco Robotics; Serve Robotics,反应速度; 异常接管; 遥操作看板; 稳定网络,导航判断; 多机型,"按班次监控多台机器人画面，异常时远程接管处理,记录干预并交接。",0,0,数天(30小时带薪培训),需稳定网络; 轮班; 部分现场,工资(时薪),22000,74800,Coco/Serve $13.46/hr年化 ZipRecruiter (converted from USD),均~$46/hr(高$91.59) 年化 ZipRecruiter (converted from USD),now,自主率提升:一人管更多机器人→岗位被压缩,12-24月→车队主管/部署经理(L6-EMP-03),false
L6-EMP-02,垂直机器人 现场部署/服务技术员,L6,employee,"到客户现场安装、调试、维修垂直行业机器人(仓储/农业/食品),做控制安全测试与客户培训。跨垂直合并。",Mujin/OSARO/Pickle (仓储); Carbon/FarmWise (农业); Miso/Chef (食品),现场安装调试; 机电排障; 控制/安全测试; 客户现场支持,数据采集/标注辅助; 行业知识,"按派单驻场安装调试机器人,做安全测试与培训,处理故障并回传问题。",0,500,0-3个月(有机电经验),需机电基础; 出差/驻场,工资+股权,46900,83500,Glassdoor robotics field service technician 低端 (converted from USD),Glassdoor robotics field service technician 高端~$106k (converted from USD),now,远程诊断/更可靠硬件减少现场需求,12-24月→部署经理/区域服务主管或自营集成(L6-MICRO-01),false
L6-EMP-03,RaaS客户成功/部署经理,L6,employee,拥有RaaS客户账户:管理部署、分析成效、做扩张/复购与跨部门协调。,Chef Robotics; Brain Corp; Diligent Robotics,客户关系管理; 部署数据分析; 扩张/复购; 跨职能协调,行业知识; 项目管理,周一定客户成功计划; 周二-周四跟进部署成效+客户对齐+扩张; 周五复盘指标+协调内部。,0,500,0-3个月(有CSM/部署经验),需客户成功/部署经验,工资+股权,86400,150600,Glassdoor Locus Robotics CSM 25th $109.7k (converted from USD),Glassdoor Locus Robotics CSM 75th $191.3k (converted from USD),now,RaaS需求随客户预算波动,12-24月→客户成功总监/区域负责人,false
L6-EMP-04,商用无人机操作员/Part 107飞手 (受雇),L6,employee,"受雇做建筑/基础设施现场无人机测绘与数据采集(自主飞行),持FAA Part 107。",Skydio部署,FAA Part 107; 现场测绘(DroneDeploy); 数据采集; 自主飞行操作,摄影测量; GIS,按项目到现场规划航线、飞行采集、处理数据并交付成果。,130,2000,1-2个月(考Part 107+熟练),需Part 107证; 现场/出差,工资(时薪),58600,106800,Glassdoor Part 107 pilot $36/hr年化 (converted from USD),Glassdoor Part 107 pilot $65/hr年化 (converted from USD),now,全自主无人机减少人工飞手需求,12-24月→自营无人机服务(L6-SOLO-01)或服务公司(L6-MICRO-03),false
L6-SOLO-01,Part 107无人机巡检/测绘服务个体,L6,solo,"个人持Part 107,用Skydio/DJI为建筑/基础设施/农业提供巡检与测绘,按小时/项目/英亩收费。",Skydio/DJI + DroneDeploy,FAA Part 107; 摄影测量/热成像巡检; 航线规划; 数据成果交付,GIS; NDVI多光谱; 销售,周一接单/规划; 周二-周四现场飞行采集; 周五处理数据+交付报告+开发客户。,1500,8000,1-3个月(证+设备+首单),需Part 107+无人机设备($1.5-8k),按小时/项目/英亩,23600,118100,"$5-15/英亩或$150-500/单,兼职 UAV Coach (converted from USD)","巡检$300-700/hr,$500-2,500/单 Skyebrowse (converted from USD)",now,全自主巡检平台+市场饱和压价,12-24月→无人机服务公司(L6-MICRO-03),false
L6-SOLO-02,农业机器人除草承包人 (除草即服务),L6,solo,"个人自有或租用激光/机械除草机器人,按英亩为农场提供除草即服务。",FarmWise; Carbon Robotics (LaserWeeder),田间机器操作; 按英亩服务运营; 作物-杂草标定; 季节排程,农艺知识; 设备维护,"按农场排期到田间运行除草机器人,按英亩计费,维护设备并跟季节扩客。",20000,200000,3-6个月(购/租设备+首批农场),设备资本高(买)或租赁; 季节性强,按英亩服务费,31500,196900,按吞吐+省药成本建模(无公开服务价) Carbon (converted from USD),"有机高价作物$500-2,000/英亩季 farm-equipment (converted from USD)",6-12mo,农场自购设备; 设备厂直营RaaS挤压中间承包,12-24月→区域农业机器人服务公司,false
L6-SOLO-03,自主洗地机 业主-操作员 (清洁服务),L6,solo,"个人购置自主洗地机器人,承接商业场所清洁合同,机器人替代大量人工面积。",Tennant/Nilfisk/Kärcher KIRA; Gausium,自主洗地机操作/充电; 路线设置; 清洁合同销售; 基础维护,多场地运营; B2B销售,"部署机器人到合同场地夜间清洁,白天巡检维护与开发新合同,按面积/合同计费。",12000,40000,1-3个月(购机+首个合同),机器$15-50k资本(或RaaS租赁),清洁合同(按面积),23600,118100,单合同净~$600-900/月 commercialrobotvacuums (converted from USD),多班多场地(3×人工面积) sproutmation (converted from USD),now,厂商直营RaaS绕过个体; 清洁价格战,12-24月→区域清洁机器人RaaS(L6-MICRO-01),false
L6-MICRO-01,区域RaaS转售/部署集成商,L6,micro_startup,1-5人做区域机器人即服务转售与部署集成(清洁/安防/服务机器人):现场部署、培训、账户管理、预防性维护。,Avidbots/Gausium/SoftBank; SMP Robotics; Locus,现场部署与培训; 账户管理; 预防性维护; 渠道销售,融资/订阅设置; 多品牌集成,周一-周二渠道销售+融资方案; 周三-周四部署+培训+维护; 周五账户管理+SLA保障+扩队。,5000,40000,1-3个月(渠道+首批部署),需渠道关系+服务能力+周转资金,RaaS订阅分成,18900,236200,"1-2台×$500-2,000/月分成 embeddedcomputing (converted from USD)",10-25台车队×$1-2k/月 hardfin (converted from USD),now,厂商直营绕过转售; RaaS价格压缩,12-24月→区域机器人部署服务公司,false
L6-MICRO-02,面向中小企业的垂直机器人采用顾问,L6,micro_startup,1-5人帮中小企业(食品/仓储/清洁)评估、选型、落地机器人:需求评估、ROI建模、供应商选择、部署PM、变革管理。,平台无关(Chef/Miso/Avidbots/Locus),需求评估与ROI建模; 供应商选择; 部署项目管理; 变革管理,行业人脉; 数据分析,周一-周二客户诊断+ROI建模; 周三-周四选型+部署PM; 周五成效跟踪+员工变革管理。,500,5000,1-2个月(首个客户),需行业人脉+咨询信誉,咨询费/retainer,18900,141700,"轻咨询retainer $2,000/月 (converted from USD)",$8-15k/月或$150-500/hr (converted from USD),now,厂商提供免费部署咨询; RaaS降低决策复杂度,12-24月→垂直机器人集成/咨询公司,false
L6-MICRO-03,建筑/基础设施无人机服务公司 (1-5人),L6,micro_startup,"1-5人无人机服务公司,以retainer模式为建筑/基础设施客户做周期性测绘巡检与数据报告。",Skydio + DroneDeploy / DSLRPros,Part 107团队运营; 周期性测绘节奏; 数据处理与报告; retainer客户管理,多机型; GIS; BD,周一排多站点航次; 周二-周四团队飞行采集; 周五处理数据出报告+管理retainer+开发客户。,5000,30000,1-3个月(组队+设备+首批retainer),需多名持证飞手+设备+客户合同,月度retainer+项目,18900,236200,"单站点~$2,000/月监测retainer getmonetizely (converted from USD)",多站点$2-8k/月+一次性$1-3k UAV Coach (converted from USD),now,全自主基站无人机(如Skydio Dock)替代人工服务,12-24月→区域无人机/地理空间数据公司,false
